Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
[IKE] Uncle Ikes Capitol Hill - VMI,147184.21,34341,19,488.49,[IKE] Uncle Ikes Capitol Hill - VMI PICC Proposal.pdf
[HLF] Higher Leaf Kirkland - VMI - 1WT,145737.68,26690,19,488.49,[HLF] Higher Leaf Kirkland - VMI - 1WT PICC Proposal.pdf
[FLYD] Floyd's Cannabis Mount Vernon - VMI,144588.64,26513,19,488.49,[FLYD] Floyd's Cannabis Mount Vernon - VMI PICC Proposal.pdf
28 Grahams Cannabis - VMI,142056.0,20727,19,488.49,28 Grahams Cannabis - VMI PICC Proposal.pdf
[FMKT] Freedom Market Ilwaco - VMI - 1WT,141521.41,28036,18,462.78,[FMKT] Freedom Market Ilwaco - VMI - 1WT PICC Proposal.pdf
[RTS] Local Roots - Everett 128th - VMI,139797.7,28197,18,462.78,[RTS] Local Roots - Everett 128th - VMI PICC Proposal.pdf
[420] 420 Carpenter - 1WT,138163.56,26697,18,462.78,[420] 420 Carpenter - 1WT PICC Proposal.pdf
[420] 420 Capitol - 1WT,133820.12,26270,18,462.78,[420] 420 Capitol - 1WT PICC Proposal.pdf
[SLBN] The Slow Burn Market,133171.75,24549,18,462.78,[SLBN] The Slow Burn Market PICC Proposal.pdf
[APEX] Apex Cannabis - Market Street - VMI,131759.55,26197,18,462.78,[APEX] Apex Cannabis - Market Street - VMI PICC Proposal.pdf
[HBRY] Herbery Blvd (H6) - VMI -  1WT,131468.81,27864,18,462.78,[HBRY] Herbery Blvd (H6) - VMI -  1WT PICC Proposal.pdf
[CRFT] Craft Cannabis Mill Plain - VMI - 1WT,128353.89,20764,18,462.78,[CRFT] Craft Cannabis Mill Plain - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Lynnwood - VMI - 1WT,124824.42,27124,18,462.78,[AGT] A Greener Today Lynnwood - VMI - 1WT PICC Proposal.pdf
[AGT] A Greener Today Burien - VMI,124557.54,49042,18,462.78,[AGT] A Greener Today Burien - VMI PICC Proposal.pdf
[MS] Shawn Kemp's Cannabis SODO - 1WT,124240.87,19326,18,462.78,[MS] Shawn Kemp's Cannabis SODO - 1WT PICC Proposal.pdf
Ni'Kxna¿ - VMI,124132.28,15959,18,462.78,Ni'Kxna¿ - VMI PICC Proposal.pdf
[FLYD] Floyd's Cannabis Sedro Woolley - VMI,124128.05,23571,18,462.78,[FLYD] Floyd's Cannabis Sedro Woolley - VMI PICC Proposal.pdf
Cannabis Country Store - 1WT,122899.61,18697,18,462.78,Cannabis Country Store - 1WT PICC Proposal.pdf
[HLF] Higher Leaf Eastgate-Bellevue - VMI - 1WT,120765.74,20261,18,462.78,[HLF] Higher Leaf Eastgate-Bellevue - VMI - 1WT PICC Proposal.pdf
Cult Cannabis Co - VMI - 1WT,117224.63,17551,18,462.78,Cult Cannabis Co - VMI - 1WT PICC Proposal.pdf
[CRFT] Craft Cannabis Tacoma - VMI - 1WT,117036.57,15429,18,462.78,[CRFT] Craft Cannabis Tacoma - VMI - 1WT PICC Proposal.pdf
[FLYD] Floyd's Cannabis Burlington - VMI,116144.6,18169,18,462.78,[FLYD] Floyd's Cannabis Burlington - VMI PICC Proposal.pdf
[395] Herbal E Scents - VMI - 1WT,114982.14,19040,18,462.78,[395] Herbal E Scents - VMI - 1WT PICC Proposal.pdf
[EGM] Evergreen Market Kirkland - VMI - 1WT,113886.16,15201,18,462.78,[EGM] Evergreen Market Kirkland - VMI - 1WT PICC Proposal.pdf
[PZN] Pot Zone - Port Orchard - VMI - 1WT,112811.88,12880,18,462.78,[PZN] Pot Zone - Port Orchard - VMI - 1WT PICC Proposal.pdf
210 Cannabis - VMI - 1WT,111063.03,16254,18,462.78,210 Cannabis - VMI - 1WT PICC Proposal.pdf
[POCC] Pend Oreille Cannabis Co,109634.05,15283,18,462.78,[POCC] Pend Oreille Cannabis Co PICC Proposal.pdf
[C&G] Cannabis & Glass Trent (Valley) - 1WT,109338.07,15615,18,462.78,[C&G] Cannabis & Glass Trent (Valley) - 1WT PICC Proposal.pdf
[CRFT] Craft Cannabis Andresen - VMI - 1WT,109149.41,16934,18,462.78,[CRFT] Craft Cannabis Andresen - VMI - 1WT PICC Proposal.pdf
[VLT] Vault Cannabis Lake Stevens,106860.52,15002,18,462.78,[VLT] Vault Cannabis Lake Stevens PICC Proposal.pdf
[ICC] Issaquah Cannabis Co,106434.8,21787,18,462.78,[ICC] Issaquah Cannabis Co PICC Proposal.pdf
Destination HWY 420 - VMI - 1WT,104879.84,15104,18,462.78,Destination HWY 420 - VMI - 1WT PICC Proposal.pdf
[APEX] Apex Cannabis Division - VMI - 1WT,104763.86,17704,18,462.78,[APEX] Apex Cannabis Division - VMI - 1WT PICC Proposal.pdf
[CHB] Cascade Herb - Bellingham - 1WT,104574.39,15665,18,462.78,[CHB] Cascade Herb - Bellingham - 1WT PICC Proposal.pdf
[CRFT] Craft Cannabis Wenatchee - VMI - 1WT,104339.82,16273,18,462.78,[CRFT] Craft Cannabis Wenatchee - VMI - 1WT PICC Proposal.pdf
[FMKT] Freedom Market Longview - VMI - 1WT,103255.66,20991,18,462.78,[FMKT] Freedom Market Longview - VMI - 1WT PICC Proposal.pdf
[GLY] The Gallery Canyon - VMI,100011.69,19330,18,462.78,[GLY] The Gallery Canyon - VMI PICC Proposal.pdf
[420] 420 Grand Central - 1WT,99496.59,16182,17,437.07,[420] 420 Grand Central - 1WT PICC Proposal.pdf
[C&G] Cannabis & Glass Francis (North) - 1WT,98094.26,13511,17,437.07,[C&G] Cannabis & Glass Francis (North) - 1WT PICC Proposal.pdf
[HLF] Higher Leaf - Factoria  - VMI - 1WT,95951.8,17041,17,437.07,[HLF] Higher Leaf - Factoria  - VMI - 1WT PICC Proposal.pdf
Margie's Pot Shop,91111.13,16111,17,437.07,Margie's Pot Shop PICC Proposal.pdf
[FMKT] Freedom Market - Kelso - VMI - 1WT,90946.43,18964,17,437.07,[FMKT] Freedom Market - Kelso - VMI - 1WT PICC Proposal.pdf
[FIRE] Fire Cannabis Co Yakima - 1WT,90148.26,17099,17,437.07,[FIRE] Fire Cannabis Co Yakima - 1WT PICC Proposal.pdf
Greenlight - VMI - 1WT,89303.68,12249,17,437.07,Greenlight - VMI - 1WT PICC Proposal.pdf
[Lidz] Lidz - Everett North - VMI,88151.19,17301,17,437.07,[Lidz] Lidz - Everett North - VMI PICC Proposal.pdf
[BHUT] Bud Hut Camano Island - VMI - 1WT,88101.7,18972,17,437.07,[BHUT] Bud Hut Camano Island - VMI - 1WT PICC Proposal.pdf
[ICC] 112th St Cannabis,87461.01,18086,17,437.07,[ICC] 112th St Cannabis PICC Proposal.pdf
[LLF] Lucky Leaf Spokane - VMI,86944.7,15554,17,437.07,[LLF] Lucky Leaf Spokane - VMI PICC Proposal.pdf
Nature's Gifts,84524.23,10491,17,437.07,Nature's Gifts PICC Proposal.pdf
[KLF] Kaleafa Des Moines - VMI - 1WT,82948.71,13336,17,437.07,[KLF] Kaleafa Des Moines - VMI - 1WT PICC Proposal.pdf
[ICC] Cliff's Cannabis,80526.81,16426,17,437.07,[ICC] Cliff's Cannabis PICC Proposal.pdf
[EGM] Evergreen Market (Renton Highlands) - VMI - 1WT,80468.7,11544,17,437.07,[EGM] Evergreen Market (Renton Highlands) - VMI - 1WT PICC Proposal.pdf
[EGM] Evergreen Market Bellevue - VMI - 1WT,80377.14,10245,17,437.07,[EGM] Evergreen Market Bellevue - VMI - 1WT PICC Proposal.pdf
Cannarail Station - VMI - 1WT,79978.22,9774,17,437.07,Cannarail Station - VMI - 1WT PICC Proposal.pdf
[HI5] High-5 Stevenson - VMI - 1WT,79951.06,14324,17,437.07,[HI5] High-5 Stevenson - VMI - 1WT PICC Proposal.pdf
[CPRO] Cannabis Provisions Wenatchee - VMI - 1WT,79642.04,15074,17,437.07,[CPRO] Cannabis Provisions Wenatchee - VMI - 1WT PICC Proposal.pdf
[HAH] Have A Heart Belltown - VMI - 1WT,78853.28,17807,17,437.07,[HAH] Have A Heart Belltown - VMI - 1WT PICC Proposal.pdf
North West Cannabis - VMI,76838.1,12379,17,437.07,North West Cannabis - VMI PICC Proposal.pdf
