Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
[SAGE] Sage Shop Omak,30350.98,5347,14,359.94,[SAGE] Sage Shop Omak PICC Proposal.pdf
[2020] 2020 Solutions Mt Baker Hwy - VMI - 1WT,28609.34,3979,14,359.94,[2020] 2020 Solutions Mt Baker Hwy - VMI - 1WT PICC Proposal.pdf
Mr Greens (Crossmatch) - VMI,28541.06,4747,14,359.94,Mr Greens (Crossmatch) - VMI PICC Proposal.pdf
[FLYD] Floyd's Cannabis Port Angeles - VMI,27999.02,5417,14,359.94,[FLYD] Floyd's Cannabis Port Angeles - VMI PICC Proposal.pdf
[HTRS] Happy Trees Prosser - VMI,27931.75,6495,14,359.94,[HTRS] Happy Trees Prosser - VMI PICC Proposal.pdf
[CNDR] Cinder (North),27481.85,3025,14,359.94,[CNDR] Cinder (North) PICC Proposal.pdf
[FMKT] Freedom Market Cathlamet - VMI - 1WT,27449.98,7318,14,359.94,[FMKT] Freedom Market Cathlamet - VMI - 1WT PICC Proposal.pdf
Sweet Leaf Cannabis Co.,26555.76,5601,14,359.94,Sweet Leaf Cannabis Co. PICC Proposal.pdf
[395] High Life Cannabis - VMI - 1WT,26248.35,3670,14,359.94,[395] High Life Cannabis - VMI - 1WT PICC Proposal.pdf
[NVNA] Nirvana East Wenatchee - VMI - 1WT,26040.86,4158,14,359.94,[NVNA] Nirvana East Wenatchee - VMI - 1WT PICC Proposal.pdf
Red Fox - VMI,25102.88,3969,14,359.94,Red Fox - VMI PICC Proposal.pdf
[HOC] House of Cannabis Tacoma - 1WT,24452.03,4165,14,359.94,[HOC] House of Cannabis Tacoma - 1WT PICC Proposal.pdf
The Tribal Joint,24272.91,3643,14,359.94,The Tribal Joint PICC Proposal.pdf
[ELVT] Elevation (Tumwater Airport) - 1WT,23736.3,3690,14,359.94,[ELVT] Elevation (Tumwater Airport) - 1WT PICC Proposal.pdf
[HTRS] Happy Trees Cle Elum - VMI,23354.25,4679,14,359.94,[HTRS] Happy Trees Cle Elum - VMI PICC Proposal.pdf
[CHB] Cascade Herb - Ferndale - 1WT,23252.79,3021,14,359.94,[CHB] Cascade Herb - Ferndale - 1WT PICC Proposal.pdf
Loving Farms - 1WT,23126.15,3358,14,359.94,Loving Farms - 1WT PICC Proposal.pdf
Uncle Willie's Cannabis - VMI - 1WT,22839.65,4374,14,359.94,Uncle Willie's Cannabis - VMI - 1WT PICC Proposal.pdf
Zen Den,22692.24,4196,14,359.94,Zen Den PICC Proposal.pdf
Natural Green Cannabis,22338.99,3594,13,334.23,Natural Green Cannabis PICC Proposal.pdf
Carter's Cannabis - 1WT,22186.83,6830,13,334.23,Carter's Cannabis - 1WT PICC Proposal.pdf
[SCC] Super Chronic Club Mount Vernon - 1WT,21886.68,3136,13,334.23,[SCC] Super Chronic Club Mount Vernon - 1WT PICC Proposal.pdf
[CNDR] Cinder (Downtown),21547.5,2625,13,334.23,[CNDR] Cinder (Downtown) PICC Proposal.pdf
395 Herb - 1WT,20776.45,4063,13,334.23,395 Herb - 1WT PICC Proposal.pdf
I-90 Greenhouse (It Is Lit),20381.47,2967,13,334.23,I-90 Greenhouse (It Is Lit) PICC Proposal.pdf
Greenway - VMI - 1WT,20360.23,2714,13,334.23,Greenway - VMI - 1WT PICC Proposal.pdf
TJ's Cannabis,20237.89,4493,13,334.23,TJ's Cannabis PICC Proposal.pdf
West Coast Wellness,19746.56,3623,13,334.23,West Coast Wellness PICC Proposal.pdf
Orchards Cannabis Market,19130.18,2622,13,334.23,Orchards Cannabis Market PICC Proposal.pdf
[BBD] Better Buds Port Hadlock - VMI - 1WT,19069.71,4888,13,334.23,[BBD] Better Buds Port Hadlock - VMI - 1WT PICC Proposal.pdf
[NVT] Novel Tree Bellevue - VMI - 1WT,18807.91,3176,13,334.23,[NVT] Novel Tree Bellevue - VMI - 1WT PICC Proposal.pdf
Smuggler Brothers - 1WT,18760.76,2626,13,334.23,Smuggler Brothers - 1WT PICC Proposal.pdf
Elwha Peaks,18744.1,2510,13,334.23,Elwha Peaks PICC Proposal.pdf
[HTG] Hashtag Redmond - 1WT,18396.28,2985,13,334.23,[HTG] Hashtag Redmond - 1WT PICC Proposal.pdf
[SAGE] Sage Shop Oroville,18304.0,3238,13,334.23,[SAGE] Sage Shop Oroville PICC Proposal.pdf
Star Outlet,18095.44,3281,13,334.23,Star Outlet PICC Proposal.pdf
Kitsap Cannabis Port Orchard,18021.82,3844,13,334.23,Kitsap Cannabis Port Orchard PICC Proposal.pdf
Goobie's Doobies - 1WT,17671.59,5224,13,334.23,Goobie's Doobies - 1WT PICC Proposal.pdf
[VLT] Vault Silvana,17316.66,2003,13,334.23,[VLT] Vault Silvana PICC Proposal.pdf
Cannabis Coast,17108.02,3624,13,334.23,Cannabis Coast PICC Proposal.pdf
[GPSY] Greens On Gold,16853.75,2327,13,334.23,[GPSY] Greens On Gold PICC Proposal.pdf
[DOCK] Dockside Cannabis Ballard,15540.0,1036,13,334.23,[DOCK] Dockside Cannabis Ballard PICC Proposal.pdf
[EVLV] Evolve Cannabis Kelso - VMI,14708.35,2041,13,334.23,[EVLV] Evolve Cannabis Kelso - VMI PICC Proposal.pdf
GoodBuds Quincy,14662.26,1834,13,334.23,GoodBuds Quincy PICC Proposal.pdf
[HPTM] Happy Time Pullman - VMI - 1WT,14637.95,2057,13,334.23,[HPTM] Happy Time Pullman - VMI - 1WT PICC Proposal.pdf
[WEST] Western Bud Bellingham,14545.16,1765,13,334.23,[WEST] Western Bud Bellingham PICC Proposal.pdf
Cannablyss - NBA,14449.2,1060,13,334.23,Cannablyss - NBA PICC Proposal.pdf
[C9] Cloud 9 Arlington - VMI - 1WT,14393.03,2299,13,334.23,[C9] Cloud 9 Arlington - VMI - 1WT PICC Proposal.pdf
[BSH] Belfair Cannabis Company - VMI,14312.95,2530,13,334.23,[BSH] Belfair Cannabis Company - VMI PICC Proposal.pdf
Local Amster Longview,14300.5,1437,13,334.23,Local Amster Longview PICC Proposal.pdf
[BSH] Shelton Cannabis - VMI,13351.58,2481,13,334.23,[BSH] Shelton Cannabis - VMI PICC Proposal.pdf
[CPRO] White Rabbit Retail,13240.65,1459,12,308.52,[CPRO] White Rabbit Retail PICC Proposal.pdf
High Society Everett - VMI - 1WT,13148.2,2581,12,308.52,High Society Everett - VMI - 1WT PICC Proposal.pdf
[BKRE] The Bakeree Seattle - 1WT,13009.21,2247,12,308.52,[BKRE] The Bakeree Seattle - 1WT PICC Proposal.pdf
[CBLS] TERP - VMI,12917.2,1989,12,308.52,[CBLS] TERP - VMI PICC Proposal.pdf
B Street Bud,12654.28,2736,12,308.52,B Street Bud PICC Proposal.pdf
Mister Buds,12626.0,948,12,308.52,Mister Buds PICC Proposal.pdf
[LVLY] Wonder Weed - VMI,12437.86,1585,12,308.52,[LVLY] Wonder Weed - VMI PICC Proposal.pdf
Mountain High Cannabis,12164.02,2164,12,308.52,Mountain High Cannabis PICC Proposal.pdf
Treehouse Club - 1WT,12146.55,2180,12,308.52,Treehouse Club - 1WT PICC Proposal.pdf
[DOCK] Dockside 85th,12105.0,807,12,308.52,[DOCK] Dockside 85th PICC Proposal.pdf
[C9] Cloud 9 - Cheney - VMI - 1WT,11982.26,1885,12,308.52,[C9] Cloud 9 - Cheney - VMI - 1WT PICC Proposal.pdf
[WEST] Western Bud Burlington,11979.62,1703,12,308.52,[WEST] Western Bud Burlington PICC Proposal.pdf
[HPTM] Happy Time Mount Vernon - VMI - 1WT,11531.82,1844,12,308.52,[HPTM] Happy Time Mount Vernon - VMI - 1WT PICC Proposal.pdf
Sunsets Cannabis,11035.77,2298,12,308.52,Sunsets Cannabis PICC Proposal.pdf
[HWY] HWY 420 - Silverdale,10965.0,731,12,308.52,[HWY] HWY 420 - Silverdale PICC Proposal.pdf
Cook Road Cannabis,10662.87,2299,12,308.52,Cook Road Cannabis PICC Proposal.pdf
Greenhand Spokane,10642.4,1130,12,308.52,Greenhand Spokane PICC Proposal.pdf
[395] 395 North Cannabis - VMI - 1WT,10467.92,1716,12,308.52,[395] 395 North Cannabis - VMI - 1WT PICC Proposal.pdf
[CRFT] Craft Cannabis Leavenworth - VMI - 1WT,10291.89,1657,12,308.52,[CRFT] Craft Cannabis Leavenworth - VMI - 1WT PICC Proposal.pdf
[JNT] The Joint Everett - VMI - 1WT,10275.46,1605,12,308.52,[JNT] The Joint Everett - VMI - 1WT PICC Proposal.pdf
[POM] Piece of Mind Pullman - VMI,10258.09,1487,12,308.52,[POM] Piece of Mind Pullman - VMI PICC Proposal.pdf
High Point Cannabis - VMI,10253.12,1251,12,308.52,High Point Cannabis - VMI PICC Proposal.pdf
[GPSY] Gypsy Green Olympia,9948.51,1935,12,308.52,[GPSY] Gypsy Green Olympia PICC Proposal.pdf
Kushmart South Everett - 1WT,9667.55,1417,12,308.52,Kushmart South Everett - 1WT PICC Proposal.pdf
[H420] - Hangar 420 - Everett - VMI - 1WT,9636.17,1268,12,308.52,[H420] - Hangar 420 - Everett - VMI - 1WT PICC Proposal.pdf
Ganjavita - 1WT,9621.05,2399,12,308.52,Ganjavita - 1WT PICC Proposal.pdf
Paper and Leaf,9355.7,656,12,308.52,Paper and Leaf PICC Proposal.pdf
Cathlamet Cannabis Company,9339.24,1845,12,308.52,Cathlamet Cannabis Company PICC Proposal.pdf
[DOCK] Dockside SODO (4th Ave),9195.0,613,12,308.52,[DOCK] Dockside SODO (4th Ave) PICC Proposal.pdf
[DoA] Dank of America on the Guide - 1WT,8793.0,1597,12,308.52,[DoA] Dank of America on the Guide - 1WT PICC Proposal.pdf
[C21] Millers,8518.18,1927,12,308.52,[C21] Millers PICC Proposal.pdf
Greenworks NW,8350.41,1042,12,308.52,Greenworks NW PICC Proposal.pdf
Legal Marijuana Superstore,8308.31,1681,12,308.52,Legal Marijuana Superstore PICC Proposal.pdf
[CBLS] Cannabliss 21 - VMI - 1WT,8167.89,1104,11,282.81,[CBLS] Cannabliss 21 - VMI - 1WT PICC Proposal.pdf
[BSH] Bayshore Cannabis Co - VMI,7939.57,1395,11,282.81,[BSH] Bayshore Cannabis Co - VMI PICC Proposal.pdf
Between the Ferns Cannabis Company,7699.68,992,11,282.81,Between the Ferns Cannabis Company PICC Proposal.pdf
Northwind Cannabis,7575.03,911,11,282.81,Northwind Cannabis PICC Proposal.pdf
Clutch Cannabis,7129.8,712,11,282.81,Clutch Cannabis PICC Proposal.pdf
[CBLS] Molecule - VMI,6924.5,992,11,282.81,[CBLS] Molecule - VMI PICC Proposal.pdf
[HOC] House of Cannabis Whidbey Island - 1WT,6841.95,1422,11,282.81,[HOC] House of Cannabis Whidbey Island - 1WT PICC Proposal.pdf
[SCC] Super Chronic Club Seattle - 1WT,6765.0,451,11,282.81,[SCC] Super Chronic Club Seattle - 1WT PICC Proposal.pdf
Rainier Cannabis,6730.8,1150,11,282.81,Rainier Cannabis PICC Proposal.pdf
Kush Pointe,6675.0,445,11,282.81,Kush Pointe PICC Proposal.pdf
[C21] Cannabis 21 Ocean Shores,6594.22,1512,11,282.81,[C21] Cannabis 21 Ocean Shores PICC Proposal.pdf
Fresh Greens Winthrop,6314.2,945,11,282.81,Fresh Greens Winthrop PICC Proposal.pdf
Ounces and Eighths Lynnwood,6307.14,1257,11,282.81,Ounces and Eighths Lynnwood PICC Proposal.pdf
Muffy's Smokin' Greens,6194.65,744,11,282.81,Muffy's Smokin' Greens PICC Proposal.pdf
[JNT] Starbuds Queen Anne - VMI - 1WT,5511.29,1228,11,282.81,[JNT] Starbuds Queen Anne - VMI - 1WT PICC Proposal.pdf
Natural Care,5398.87,849,11,282.81,Natural Care PICC Proposal.pdf
[BBD] Better Buds Port Angeles,5250.98,1050,11,282.81,[BBD] Better Buds Port Angeles PICC Proposal.pdf
[POCC] Pend Oreille Cannabis Co North,5203.36,819,11,282.81,[POCC] Pend Oreille Cannabis Co North PICC Proposal.pdf
The Green Door Seattle,5175.0,345,11,282.81,The Green Door Seattle PICC Proposal.pdf
Scotland TEST,5096.93,316,11,282.81,Scotland TEST PICC Proposal.pdf
Sparket,4950.0,330,11,282.81,Sparket PICC Proposal.pdf
North Bay Marijuana,4904.6,845,11,282.81,North Bay Marijuana PICC Proposal.pdf
Green Stop Cannabis,4624.85,699,11,282.81,Green Stop Cannabis PICC Proposal.pdf
Emerald Coast Cannabis,4420.25,799,11,282.81,Emerald Coast Cannabis PICC Proposal.pdf
Hypeherbally,4289.92,288,11,282.81,Hypeherbally PICC Proposal.pdf
Seattle Cannabis Co - VMI,4118.73,693,11,282.81,Seattle Cannabis Co - VMI PICC Proposal.pdf
[BBD] The World Famous Cannabis Store,4082.4,1050,11,282.81,[BBD] The World Famous Cannabis Store PICC Proposal.pdf
T Brothers,3900.0,260,11,282.81,T Brothers PICC Proposal.pdf
[JNT] Starbuds Lynnwood - VMI - 1WT,3567.5,659,11,282.81,[JNT] Starbuds Lynnwood - VMI - 1WT PICC Proposal.pdf
Discovery Bay,3205.2,441,11,282.81,Discovery Bay PICC Proposal.pdf
Nimbin Pot Shop,3150.5,825,11,282.81,Nimbin Pot Shop PICC Proposal.pdf
Green Tiki,3112.65,852,11,282.81,Green Tiki PICC Proposal.pdf
[AMRY] American Mary Ballard - NBA,2833.17,340,10,257.1,[AMRY] American Mary Ballard - NBA PICC Proposal.pdf
[MJMT] Marijuana Mart Grand Mound,2550.0,170,10,257.1,[MJMT] Marijuana Mart Grand Mound PICC Proposal.pdf
[AMRY] American Mary 45th,2441.54,363,10,257.1,[AMRY] American Mary 45th PICC Proposal.pdf
Vashon Times 21,1876.91,417,10,257.1,Vashon Times 21 PICC Proposal.pdf
[FCC] Forbidden Cannabis Club Carlton - 1WT,1328.93,264,10,257.1,[FCC] Forbidden Cannabis Club Carlton - 1WT PICC Proposal.pdf
Lucky Cannabis - Mount Vernon,1235.01,125,10,257.1,Lucky Cannabis - Mount Vernon PICC Proposal.pdf
Caravan Cannabis Company,1230.0,122,10,257.1,Caravan Cannabis Company PICC Proposal.pdf
Cloud Cannabis,1050.0,70,10,257.1,Cloud Cannabis PICC Proposal.pdf
Sapphire Cannabis - CLOSED,500.0,110,10,257.1,Sapphire Cannabis - CLOSED PICC Proposal.pdf
Marcos Test,0.0,0,10,257.1,Marcos Test PICC Proposal.pdf
One Hit Wonder - Silverdale - NBA,0.0,65,10,257.1,One Hit Wonder - Silverdale - NBA PICC Proposal.pdf
SeaChange Cannabis - NBA,0.0,0,10,257.1,SeaChange Cannabis - NBA PICC Proposal.pdf
Sweet Releaf - NBA,0.0,15,10,257.1,Sweet Releaf - NBA PICC Proposal.pdf
[GLDY] Green Lady West,0.0,0,10,257.1,[GLDY] Green Lady West PICC Proposal.pdf
[LXPS] Lux Pot Shop Ballard,0.0,0,10,257.1,[LXPS] Lux Pot Shop Ballard PICC Proposal.pdf
[OLY] Olympia Weed Company - NBA,0.0,46,10,257.1,[OLY] Olympia Weed Company - NBA PICC Proposal.pdf
[ORGN] Origins Cannabis West Seattle  - 1WT,0.0,0,10,257.1,[ORGN] Origins Cannabis West Seattle  - 1WT PICC Proposal.pdf
