Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Guava Cupcakes LR Infused Preroll - (S),,Dabstract,,66.6,20,2026-03-13
Grand Daddy Purple LR Infused Preroll - (I),,Dabstract,,66.6,20,2026-03-13
(S) NYC Diesel DOH 2pk 1g,,PICC,,66.6,20,2026-06-16
OG Chem LR Infused Preroll - (S),,Dabstract,,66.6,20,2026-01-24
Papaya LR Infused Preroll - (I),,Dabstract,,66.6,20,2026-01-03
(I) Blueberry Cookies DOH 2pk 1g,,PICC,,66.6,20,2026-06-16
Watermelon Fruit Drops,,Hot Sugar,,64.0,16,2026-05-03
Sativa - Blue Slushie Infused Preroll,,Phat Panda,,63.0,20,2026-06-08
Indica - Cone - Northern Lights Infused Preroll,,Phat Panda,,63.0,20,2026-06-08
Tangerine Queen LR Dabstract 1g AIO - (S),,Dabstract,,62.5,5,2026-01-24
OG Chem LR Dabstract 1g AIO - (S),,Dabstract,,62.5,5,2026-01-24
Phat Panda Flower (Gary Payton/7g),,Phat Panda,,61.2,5,2026-06-08
Phat Panda Flower (Wedding Cake x Terpee Slurpee/7g),,Phat Panda,,61.2,5,2026-06-08
Phat Panda Flower (Jack & Coke/7g),,Phat Panda,,61.2,5,2026-05-18
Phat Panda Flower (Raspberry Zkittlez/7g),,Phat Panda,,61.2,5,2026-05-18
Phat Panda Flower (Truffle Shuffle/7g),,Phat Panda,,61.2,5,2026-06-08
Sungrown (BDP Purple Punch/28g),,Snickle Fritz,,60.48,3,2026-03-13
(S) Super Lemon Haze DOH 1g,,PICC,,60.0,20,2026-06-16
(I) OG Kush DOH 1g,,PICC,,60.0,20,2026-06-16
(H) Gummy Runtz & Runtz DOH 5pk 2.5g,,PICC,,60.0,5,2026-06-16
Phat Panda Flower (Non GMO/7g),,Phat Panda,,60.0,6,2026-03-13
Sativa - Gusherz Sparklers,,Phat Panda,,60.0,20,2026-03-13
Ice Cream Cake LR Dabstract 1g C-Cell - (H),,Dabstract,,60.0,6,2026-01-03
Knocked Up 1g Preroll,,Phat Panda,,60.0,40,2026-01-03
Mango Sunset,,Micro Bar,,60.0,4,2026-01-26
Phat Panda Flower (Non GMO/14g),,Phat Panda,,60.0,3,2026-03-13
Phat Panda Flower (Powdered Donut/7g),,Phat Panda,,60.0,6,2026-03-13
Trophy Wife LR Dabstract Cake Icing - (I),,Dabstract,,60.0,10,2026-03-13
Rainbow Belts LR Dabstract 1g C-Cell - (I),,Dabstract,,60.0,6,2026-01-24
Phat Panda Flower (Sunset Sherbert/7g),,Phat Panda,,60.0,6,2026-03-13
Sativa - Maui Wowie Infused Preroll,,Phat Panda,,60.0,20,2026-01-03
(H) Gelato 33 DOH 1g,,PICC,,60.0,20,2026-06-16
Dank Draaank LR Dabstract 1g C-Cell - (H),,Dabstract,,60.0,6,2026-01-24
Phat Panda Flower (Raspberry Kush/7g),,Phat Panda,,58.35,5,2026-05-03
Phat Panda Flower (Oreoz/7g),,Phat Panda,,58.35,5,2026-05-03
Phat Panda Flower (Smash Burger/7g),,Phat Panda,,58.35,5,2026-05-03
Phat Panda Flower (Biscuits & Gravy/7g),,Phat Panda,,58.35,5,2026-05-03
Phat Panda Flower (Ice Cream Cake/7g),,Phat Panda,,58.3,5,2026-02-11
Peach Driver Macro Bar,,Non Marijuana Products - Macro Bar,,56.0,2,2026-05-03
Golden Dragon Fruit Macro Bar,,Non Marijuana Products - Macro Bar,,56.0,2,2026-03-29
Sunset Sherbert LR Dabstract Cake Icing - (I),,Dabstract,,56.0,8,2026-05-03
CBD 1:1 Green Apple Fruit Drops,,Hot Sugar,,54.0,12,2026-05-03
Indica - Hawaiian Zkittlez Snickle Fritz AIO,,Snickle Fritz,,53.36,8,2026-04-14
Hybrid - Lemon Cherry Gelato Snickle Fritz AIO,,Snickle Fritz,,53.36,8,2026-04-14
Sunset Sherbert 10g Mega Roll,,Phat Panda,,53.32,4,2026-03-13
Kush Mintz 10g Mega Roll,,Phat Panda,,53.32,4,2026-03-13
Sungrown (BDP Sunset Sherbert/3.5g),,Snickle Fritz,,53.28,16,2026-04-14
Kush Mintz Platinum Bong Buddies,,Phat Panda,,53.28,16,2026-03-01
Sungrown (BDP Ice Cream Cake/3.5g),,Snickle Fritz,,53.28,16,2026-01-24
Phat Panda Flower (Gorilla Wife/3.5g),,Phat Panda,,53.2,8,2026-01-24
Guava Cupcakes - Bangers 10pk,,Phat Panda,,52.5,6,2026-06-08
Gary Payton - Bangers 10pk,,Phat Panda,,52.5,6,2026-06-08
Sativa - Blue Slushie Sparklers,,Phat Panda,,52.5,15,2026-06-08
Dragon Fruit LR Gummiez - Indica,,Hot Sugar,,52.5,10,2026-06-08
Oreoz LR Dabstract Cake Icing - (H),,Dabstract,,50.4,8,2026-06-08
Jack & Jill LR Dabstract Gems n' Juice - (S),,Dabstract,,50.4,8,2026-06-08
Triple Burger LR Dabstract Cake Icing - (I),,Dabstract,,50.4,8,2026-06-08
Hypnotik LR Dabstract Sugar - (H),,Dabstract,,50.4,8,2026-06-08
Phat Panda Flower (Redneck Mintz/7g),,Phat Panda,,50.0,5,2026-03-29
Phat Panda Flower (Knocked Up/7g),,Phat Panda,,50.0,5,2026-03-13
Phat Panda Flower (Triple Burger/7g),,Phat Panda,,50.0,5,2026-03-29
Hybrid - Zhirley Temple,,Micro Bar,,50.0,5,2026-01-04
Phat Panda Flower (Nooner/7g),,Phat Panda,,50.0,5,2026-04-14
Jack & Coke - Bangers 10pk,,Phat Panda,,49.98,6,2026-04-14
Non GMO - Bangers 10pk,,Phat Panda,,49.98,6,2026-03-13
Triple Burger - Bangers 10pk,,Phat Panda,,49.98,6,2026-04-14
Hybrid - Berry Gelato Panda Pen AIO,,Panda Concentrates,,49.98,6,2026-01-24
Grand Daddy Purple - Bangers 10pk,,Phat Panda,,49.98,6,2026-03-13
White Gummie Bears - Bangers 10pk,,Phat Panda,,49.98,6,2026-04-14
Orange Zkittlez - Bangers 10pk,,Phat Panda,,49.98,6,2026-04-14
Sunset Sherbert - Bangers 10pk,,Phat Panda,,49.98,6,2026-03-13
Golden Pineapple - Bangers 10pk,,Phat Panda,,49.98,6,2026-03-13
Hybrid - Washington Apple Sparklers,,Phat Panda,,49.95,15,2026-01-03
OG Chem Bong Buddies,,Phat Panda,,48.3,15,2026-03-29
Ice Cream Cake LR Dabstract Cake Icing - (H),,Dabstract,,48.0,8,2026-03-13
Space Apes LR Dabstract Cake Icing - (H),,Dabstract,,48.0,8,2026-02-11
Raspberry Truffle LR Dabstract Opal Sugar - (I),,Dabstract,,48.0,8,2026-01-24
Strawberry Fritter LR Dabstract Sugar - (H),,Dabstract,,48.0,8,2026-03-13
Black Zoap LR Dabstract Sugar - (I),,Dabstract,,48.0,8,2026-04-14
Orange Zkittlez LR Dabstract Sugar - (H),,Dabstract,,48.0,8,2026-04-14
Lemon Fresh LR Dabstract Gems n' Juice - (S),,Dabstract,,48.0,8,2026-04-14
Wedding Cake LR Dabstract Opal Sugar - (H),,Dabstract,,48.0,8,2026-02-11
Guava Cupcakes LR Dabstract Sugar - (S),,Dabstract,,48.0,8,2026-01-24
Blueberry Diesel LR Dabstract Cake Icing - (S),,Dabstract,,48.0,8,2026-01-24
Wedding Cake LR Dabstract Cake Icing - (H),,Dabstract,,48.0,8,2026-03-01
White Fire OG LR Dabstract Sugar - (I),,Dabstract,,48.0,8,2026-01-24
Monkey Business LR Dabstract Cake Icing - (I),,Dabstract,,48.0,8,2026-01-24
(I) Grand Master Purp DOH 1g,,PICC,,47.8,20,2026-06-16
(I) OG Punch DOH 1g,,PICC,,47.8,20,2026-06-16
Phat Panda Flower (Sunset Sherbert/28g),,Phat Panda,,47.33,1,2026-06-08
Phat Panda Flower (Cake & Bake/28g),,Phat Panda,,45.08,1,2026-01-24
Phat Panda Flower (Wedding Cake x Terpee Slurpee/14g),,Phat Panda,,45.08,2,2026-02-11
Phat Panda Flower (Gold Digger/14g),,Phat Panda,,45.08,2,2026-02-11
Phat Panda Flower (Knocked Up/14g),,Phat Panda,,45.08,2,2026-01-24
Triple Burger Bong Buddies,,Phat Panda,,45.0,15,2026-04-14
Grape Panda Candies,,Hot Sugar,,43.29,13,2026-03-29
Sungrown (PR Dulce De Uva/28g),,Snickle Fritz,,42.34,2,2026-05-18
Sungrown (PR Canal Street Runtz/28g),,Snickle Fritz,,42.34,2,2026-05-18
Hybrid - OG Kush Panda Pen AIO,,Panda Concentrates,,41.65,5,2026-03-29
Sungrown (BDP Jack Herer/28g),,Snickle Fritz,,40.32,2,2026-03-01
White Runtz Snickle Fritz Sugar,,Snickle Fritz,,40.0,16,2026-03-29
Phat Panda Flower (White Gummie Bears/28g),,Phat Panda,,40.0,1,2026-03-29
Sativa - Twisted Lemons Snickle Fritz Cart,,Snickle Fritz,,40.0,8,2026-01-03
Phat Panda Flower (Powdered Donut/14g),,Phat Panda,,40.0,2,2026-03-13
Sunset Sherbert Bong Buddies,,Phat Panda,,40.0,10,2026-05-03
Sativa - Tangerine Dream Snickle Fritz Cart,,Snickle Fritz,,40.0,8,2026-01-03
Nooner 10g Mega Roll,,Phat Panda,,39.99,3,2026-04-14
Non GMO 10g Mega Roll,,Phat Panda,,39.99,3,2026-01-24
Non GMO Bong Buddies,,Phat Panda,,36.66,12,2026-03-13
Green Apple Panda Candies,,Hot Sugar,,36.63,11,2026-03-29
Phat Panda Flower (OG Chem/7g),,Phat Panda,,36.0,4,2026-03-29
Gusherz LR Dabstract Cake Icing - (S),,Dabstract,,36.0,6,2026-03-01
(S) Lemon Meringue & Acapulco Gold DOH 5pk 2.5g,,PICC,,36.0,3,2026-06-16
White Gummie Bears LR Dabstract 1g AIO - (S),,Dabstract,,35.01,3,2026-03-29
Smash Burger Bong Buddies,,Phat Panda,,35.0,10,2026-05-18
Chicken & Waffles Platinum Bong Buddies,,Phat Panda,,35.0,10,2026-05-18
Gary Payton Bong Buddies,,Phat Panda,,35.0,10,2026-06-08
Knocked Up Bong Buddies,,Phat Panda,,35.0,10,2026-06-08
Ice Cream Cake Bong Buddies,,Phat Panda,,33.3,10,2026-02-11
Sungrown (BDP Point Break/3.5g),,Snickle Fritz,,33.3,10,2026-03-29
Jack Herer Bong Buddies,,Phat Panda,,33.3,10,2026-01-24
Candy Gas Bong Buddies,,Phat Panda,,33.3,10,2026-02-11
Raspberry Burger Platinum Bong Buddies,,Phat Panda,,33.3,10,2026-01-24
Lemon Cherry Gelato Bong Buddies,,Phat Panda,,33.3,10,2026-02-11
Sativa - Blue Dream Sparklers,,Phat Panda,,33.3,10,2026-01-24
Indica - Tiger Blood Sparklers,,Phat Panda,,33.3,10,2026-01-03
Runtz Burger Bong Buddies,,Phat Panda,,33.3,10,2026-01-03
Sungrown (BDP Lemon Cherry Gelato/3.5g),,Snickle Fritz,,33.3,10,2026-02-11
Motorbreath #15 Bong Buddies,,Phat Panda,,33.3,10,2026-03-01
Trophy Wife LR Panda Sugar,,Panda Concentrates,,33.3,10,2026-03-01
Truffle Shuffle Bong Buddies,,Phat Panda,,33.3,10,2026-03-01
Sungrown (BDP MAC Stomper/3.5g),,Snickle Fritz,,33.3,10,2026-03-01
Sour Watermelon Fruit Drops,,Hot Sugar,,32.0,8,2026-02-11
Hybrid - NYC Diesel Infused Preroll,,Phat Panda,,30.0,10,2026-01-03
Happy Hour Bong Buddies,,Phat Panda,,30.0,10,2026-03-13
Huxton - Rise,,Phat Panda,,30.0,3,2026-01-24
Huxton - Hifi,,Phat Panda,,30.0,3,2026-01-24
Blueberry Diesel Bong Buddies,,Phat Panda,,30.0,10,2026-03-13
LR Dark Chocolate - Sativa,,Hot Sugar,,30.0,6,2026-03-01
Sativa - Baja Blasted Infused Preroll,,Phat Panda,,30.0,10,2026-01-03
Sungrown (PR Gelato Cake/3.5g),,Snickle Fritz,,28.0,8,2026-06-08
Sungrown (PR Dulce De Uva/3.5g),,Snickle Fritz,,28.0,8,2026-05-18
White Razz Macro Bar,,Non Marijuana Products - Macro Bar,,28.0,1,2026-01-26
Jack & Jill Snickle Fritz Icing,,Snickle Fritz,,28.0,8,2026-05-03
Sungrown (PR Gelato 41/3.5g),,Snickle Fritz,,28.0,8,2026-06-08
Sungrown (BDP Strawberry Cough/28g),,Snickle Fritz,,28.0,1,2026-05-03
Wedding Cake LR Panda Sugar,,Panda Concentrates,,28.0,8,2026-06-08
Mango Sunset Macro Bar,,Non Marijuana Products - Macro Bar,,28.0,1,2026-03-15
Oreoz Snickle Fritz Sugar,,Snickle Fritz,,28.0,8,2026-05-03
POG Macro Bar,,Non Marijuana Products - Macro Bar,,28.0,1,2026-01-26
Gold Digger LR Panda Sugar,,Panda Concentrates,,28.0,8,2026-06-08
Guava Cupcakes LR Panda Sugar,,Panda Concentrates,,28.0,8,2026-06-08
Dirty Martini 10g Mega Roll,,Phat Panda,,26.66,2,2026-01-24
Jack Herer 10g Mega Roll,,Phat Panda,,26.66,2,2026-01-24
GMO 10g Mega Roll,,Phat Panda,,26.66,2,2026-03-01
Cream Puffs 10g Mega Roll,,Phat Panda,,26.66,2,2026-01-03
Monkey Business LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-03
Secret OG LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-24
OG Chem LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-04-14
Sungrown (BDP Inzane in the Membrane/3.5g),,Snickle Fritz,,26.64,8,2026-04-14
Forbidden Fruit LR Panda High Terpene Sugar,,Panda Concentrates,,26.64,8,2026-01-03
Grand Daddy Purple LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-03-01
Chronberry Crunch LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-04-14
Area 509 LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-04-14
Banana Cake LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-04-14
Blue Dream LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-03-01
Donny Burger LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-03-01
Raspberry Truffle LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-02-11
Sungrown (BDP Tropicanna Cookies/3.5g),,Snickle Fritz,,26.64,8,2026-01-24
Orange Cookies Bong Buddies,,Phat Panda,,26.64,8,2026-01-24
Pineapple Donut LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-03
Triangle Kush LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-03
Sungrown (BDP Oregon Purple Diesel/3.5g),,Snickle Fritz,,26.64,8,2026-04-14
Sungrown (BDP Raspberry Kush/3.5g),,Snickle Fritz,,26.64,8,2026-01-24
Black Zoap LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-01-24
Inzane in the Membrane LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-24
Kings Blend LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-04-14
Ice Cream Cake LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-04-14
Golden Pineapple LR Panda Sugar,,Panda Concentrates,,26.64,8,2026-01-24
Golden Pineapple LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-03-13
Peach Mango Panda Candies,,Hot Sugar,,26.64,8,2026-01-24
Maui Wowie LR Panda Cake Batter,,Panda Concentrates,,26.64,8,2026-01-03
Platinum Flower (Chronberry Crunch - Platinum Line/14g),,Phat Panda,,26.31,1,2026-06-08
Sungrown (BDP Durban Poison/28g),,Snickle Fritz,,21.17,1,2026-05-18
Sungrown (GUC GMO/28g),,Snickle Fritz,,20.16,1,2026-04-14
Gelato Gas Snickle Fritz Sugar,,Snickle Fritz,,20.0,8,2026-03-13
Lemon Fresh Snickle Fritz Sugar,,Snickle Fritz,,20.0,8,2026-02-11
Trophy Wife Snickle Fritz Sugar,,Snickle Fritz,,20.0,8,2026-03-29
Strawberry Cough Snickle Fritz Sugar,,Snickle Fritz,,20.0,8,2026-03-01
Good Ol' Fashion Snickle Fritz Icing,,Snickle Fritz,,20.0,8,2026-03-01
Thin Mint GSC Snickle Fritz Sugar,,Snickle Fritz,,20.0,8,2026-02-11
Strawberry Pineapple LR Panda Cake Batter,,Panda Concentrates,,19.98,6,2026-03-13
Blue Dream 10g Mega Roll,,Phat Panda,,14.0,1,2026-06-08
OG Chem 10g Mega Roll,,Phat Panda,,13.33,1,2026-03-29
Blueberry Diesel LR Dabstract Sugar - (S),,Dabstract,,6.0,1,2026-03-29
