Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Hybrid - Candy Gas Snickle Fritz Cart,,Snickle Fritz,,208.25,41,2026-06-08
Indica - Raspberry Skywalker Infused Preroll,,Phat Panda,,206.4,70,2026-06-08
Hybrid - Washington Apple Infused Preroll,,Phat Panda,,203.1,70,2026-06-08
Powdered Donut 1g Preroll,,Phat Panda,,201.2,140,2026-05-18
Golden Pineapple 1g Preroll,,Phat Panda,,200.5,140,2026-06-08
Kush Mintz - Platinum 1g Preroll,,Phat Panda,,199.8,140,2026-03-13
Gary Payton 1g Preroll,,Phat Panda,,199.8,130,2026-06-08
Indica - Biscotti Snickle Fritz Cart,,Snickle Fritz,,197.0,39,2026-05-18
Hybrid - White Razz,,Micro Bar,,196.68,19,2026-06-16
Phat Panda Flower (OG Chem/28g),,Phat Panda,,192.0,6,2026-06-08
Sour Watermelon Panda Candies,,Hot Sugar,,191.51,57,2026-06-08
Guava Cupcakes LR Dabstract 1g C-Cell - (S),,Dabstract,,185.0,18,2026-06-08
Phat Panda Flower (Rainbow Sherbert/28g),,Phat Panda,,184.82,4,2026-06-08
Phat Panda Flower (Truffle Shuffle/28g),,Phat Panda,,184.82,4,2026-06-08
Sativa - Green Crack Panda Pen,,Panda Concentrates,,182.0,26,2026-03-01
Indica - Otter Popz Panda Pen,,Panda Concentrates,,180.25,25,2026-06-08
Indica - Mixed Berriez,,Micro Bar,,180.0,12,2026-06-16
Trophy Wife LR Infused Preroll - (I),,Dabstract,,179.9,50,2026-05-03
Phat Panda Flower (Golden Pineapple/14g),,Phat Panda,,177.5,8,2026-06-08
Sativa - Gusherz Infused Preroll,,Phat Panda,,176.4,60,2026-06-08
Sativa - Tropical Slushie Snickle Fritz Cart,,Snickle Fritz,,170.02,32,2026-05-03
Trophy Wife LR Dabstract 1g C-Cell - (I),,Dabstract,,170.0,14,2026-05-03
Jack Herer 1g Preroll,,Phat Panda,,169.8,110,2026-05-18
Platinum Flower (Trophy Wife - Platinum Line/7g),,Phat Panda,,169.29,13,2026-05-18
Phat Panda Flower (Wedding Cake x Terpee Slurpee/3.5g),,Phat Panda,,163.56,24,2026-06-08
Non GMO LR Dabstract 1g AIO - (I),,Dabstract,,162.5,13,2026-03-01
Phat Panda Flower (Non GMO/3.5g),,Phat Panda,,159.36,24,2026-06-08
Hybrid - Ice Cream Cake Snickle Fritz Cart,,Snickle Fritz,,157.0,31,2026-05-18
Hybrid - Candy Gas Sparklers,,Phat Panda,,156.6,50,2026-05-03
Golden Pineapple LR Infused Preroll - (S),,Dabstract,,156.51,47,2026-03-29
Indica - Donny Burger Snickle Fritz Cart,,Snickle Fritz,,155.0,31,2026-04-14
Phat Panda Flower (Smash Burger/3.5g),,Phat Panda,,153.16,20,2026-05-03
Platinum Flower (Trophy Wife - Platinum Line/28g),,Phat Panda,,152.87,3,2026-06-08
GG #4 LR Dabstract 1g C-Cell - (H),,Dabstract,,152.0,16,2026-06-08
Beach Babe LR Dabstract 1g C-Cell - (H),,Dabstract,,148.0,16,2026-03-29
Hot Shotz - Golden Pineapple 50mg CBG/100mg THC,,Hot Shotz,,144.0,36,2026-03-01
Guava Cupcakes 1g Preroll,,Phat Panda,,143.0,100,2026-06-08
Trophy Wife Platinum Bong Buddies,,Phat Panda,,141.6,40,2026-06-08
Sungrown (BDP Sunset Sherbert/28g),,Snickle Fritz,,141.12,7,2026-04-14
Sativa - Zour Watermelon,,Micro Bar,,140.0,8,2026-06-16
Indica - Tropic Thunder,,Micro Bar,,140.0,14,2026-04-18
Indica - Face Off OG,,Micro Bar,,140.0,8,2026-06-16
Indica - Northern Lights Panda Pen,,Panda Concentrates,,140.0,20,2026-01-24
Hybrid - GG4,,Micro Bar,,140.0,8,2026-06-16
Golden Pineapple Bong Buddies,,Phat Panda,,139.89,43,2026-04-14
Jack Herer LR Infused Preroll - (S),,Dabstract,,136.6,40,2026-06-08
Gary Payton LR Infused Preroll - (H),,Dabstract,,136.6,40,2026-06-08
White Gummie Bears LR Infused Preroll - (S),,Dabstract,,136.6,40,2026-06-08
Black Zoap LR Infused Preroll - (I),,Dabstract,,136.6,40,2026-06-08
